room_type_id,accommodation_id,name,capacity,quantity,price,discount_price,amenities,description
315,79,Two-Bedroom Premier,4,5,6500000,5850000,"2 phòng ngủ riêng, phòng khách/ăn lớn, đầy đủ tiện nghi, phù hợp gia đình.",Lý tưởng cho gia đình 4 người, tận hưởng tiện ích căn hộ cao cấp.
316,79,Three-Bedroom Suite,6,2,9000000,8100000,"3 phòng ngủ, không gian rất lớn, tiện nghi 5 sao, view thành phố.",Căn hộ lớn nhất, phù hợp cho nhóm bạn hoặc gia đình đông người.
317,80,Standard Acoustic Room,2,15,1600000,1440000,"Thiết kế tối giản, yên tĩnh, TV thông minh, phòng tắm hiện đại.",Phòng boutique nhỏ gọn, phong cách hiện đại, nằm gần Hồ Hoàn Kiếm.
318,80,Deluxe Room with Balcony,2,10,2200000,1980000,"Ban công nhỏ hướng phố, thiết kế tối giản, yên tĩnh.",Phòng có ban công, thích hợp cho khách thích không gian mở.
319,80,Hành Studio Room,3,5,3500000,3150000,"Phòng studio lớn, sofa bed, thiết kế ấm cúng, cách âm tốt.",Phòng lớn, lý tưởng cho gia đình nhỏ hoặc những người cần không gian làm việc.
320,80,Acoustic Suite,4,3,4800000,4320000,"Phòng khách riêng, nội thất cao cấp, tiện nghi spa/âm nhạc.",Căn suite với không gian sống rộng rãi, tập trung vào trải nghiệm thư giãn.
321,81,Premium Deluxe Room,2,10,2500000,2250000,"Thiết kế boutique, TV thông minh, bồn tắm lớn, dịch vụ cá nhân hóa.",Phòng nghỉ 4 sao chất lượng cao, nằm ngay trung tâm Phố Cổ.
322,81,La Siesta Club Room,2,8,3500000,3150000,"Quyền lợi Club Lounge, trà chiều miễn phí, tiện nghi cao cấp, view phố Hàng Bè.",Phòng dành cho khách ưu tiên, tận hưởng dịch vụ độc quyền.
323,81,Honeymoon Suite,2,4,4800000,4320000,"Phòng lãng mạn, bồn tắm sục (Jacuzzi), trang trí hoa tươi, rượu vang.",Căn suite đặc biệt dành cho các cặp đôi, thiết kế sang trọng và ấm cúng.
324,81,Presidential Suite,4,2,7500000,6750000,"Phòng khách riêng, nội thất gỗ cao cấp, tầm nhìn toàn cảnh Phố Cổ.",Căn suite đẳng cấp nhất, mang lại không gian sống xa hoa và riêng tư.
325,82,Standard Double Room,2,15,800000,720000,"Wifi miễn phí, TV, điều hòa, phòng tắm nhỏ, cơ bản.",Phòng cơ bản, giá rẻ, phù hợp cho khách du lịch ba lô, nằm sâu trong Phố Cổ.
326,82,Twin Room with Balcony,2,10,1200000,1080000,"Ban công nhỏ hướng phố cổ (ồn), sạch sẽ, tiện nghi cơ bản.",Phòng có ban công, giá cả phải chăng, thuận tiện khám phá khu chợ đêm.
327,82,Triple Room,3,5,1500000,1350000,"3 người, tiện nghi cơ bản, giải pháp kinh tế cho nhóm 3.",Phòng ba người, đơn giản và hiệu quả.
328,82,Family Quad Room,4,3,1900000,1710000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
329,83,Deluxe Double (Vietnam Theme),2,12,2000000,1800000,"Thiết kế lấy cảm hứng từ văn hóa Việt, tiện nghi boutique, phòng tắm hiện đại.",Phòng nghỉ độc đáo, mang đậm dấu ấn văn hóa, nằm ngay trung tâm Phố Cổ.
330,83,Premium Balcony Room,2,8,2800000,2520000,"Ban công nhỏ, view phố cổ, tiện nghi nâng cấp, bàn làm việc.",Phòng thoải mái, có ban công để ngắm phố.
331,83,The Chi Suite,4,4,4200000,3780000,"Phòng khách nhỏ, sofa bed, nội thất tinh tế, phù hợp gia đình.",Căn suite với không gian sống và nghỉ ngơi tách biệt.
332,83,Connecting Room,4,3,5500000,4950000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình muốn ở cạnh nhau.
333,84,Standard Double Room,2,15,700000,630000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản.",Phòng cơ bản, sạch sẽ, giá rẻ, phù hợp cho khách du lịch ngân sách thấp.
334,84,Twin Room with Window,2,10,900000,810000,"Phòng có cửa sổ, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
335,84,Triple Room,3,5,1200000,1080000,"3 người, tiện nghi cơ bản, tiết kiệm chi phí.",Phòng ba người, đơn giản và hiệu quả.
336,84,Family Quad Room,4,3,1600000,1440000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
337,85,Deluxe Double/Twin,2,10,2100000,1890000,"Thiết kế truyền thống, tiện nghi 4 sao, dịch vụ tận tâm.",Phòng nghỉ tiêu chuẩn, sạch sẽ, nằm ở vị trí thuận tiện để khám phá Phố Cổ.
338,85,Executive Room with City View,2,8,2800000,2520000,"Phòng rộng rãi hơn, view thành phố/phố cổ, tiện nghi nâng cấp.",Phòng thoải mái, đủ tiện nghi cho công tác hoặc du lịch.
339,85,Oriental Suite,3,4,4000000,3600000,"Phòng khách nhỏ, nội thất ấm cúng, bồn tắm lớn, dịch vụ phòng 24/7.",Căn suite với không gian sống rộng rãi, thiết kế mang hơi hướng Á Đông.
340,85,Family Connecting Room,4,3,5200000,4680000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình muốn ở cạnh nhau.
341,86,Classic Room with Balcony,2,15,5000000,4500000,"Thiết kế 5 sao, ban công hướng vườn/hồ, bồn tắm lớn, yên tĩnh.",Phòng nghỉ sang trọng, nội thất cao cấp, mang lại cảm giác nghỉ dưỡng giữa lòng thủ đô.
342,86,Overwater Pavilion,2,10,7500000,6750000,"Căn pavilion riêng biệt xây trên mặt Hồ Tây, view hồ tuyệt đẹp, ban công riêng.",Trải nghiệm nghỉ dưỡng độc đáo, lãng mạn nhất tại Hà Nội.
343,86,Club InterContinental Room,2,8,10000000,9000000,"Quyền lợi Club InterContinental (ăn sáng, trà chiều, cocktail tối), check-in/out riêng.",Phòng dành cho khách ưu tiên, dịch vụ độc quyền.
344,86,Presidential Suite,4,2,30000000,27000000,"2 phòng ngủ, phòng khách lớn, phòng ăn, quản gia 24/7, tầm nhìn toàn cảnh Hồ Tây.",Trải nghiệm nghỉ dưỡng xa xỉ, không gian cực kỳ sang trọng.
345,87,Standard Double Room,2,18,900000,810000,"Wifi miễn phí, TV, điều hòa, phòng tắm nhỏ, cơ bản.",Phòng cơ bản, sạch sẽ, giá rẻ, gần khu vực hồ Tây.
346,87,Superior Twin Room,2,12,1200000,1080000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
347,87,Business Room with Desk,2,8,1500000,1350000,"Bàn làm việc, yên tĩnh hơn, thích hợp cho khách công tác.",Phòng được tối ưu cho khách cần không gian làm việc.
348,87,Family Quad Room,4,5,2200000,1980000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
349,88,Studio Apartment,2,10,3200000,2880000,"Bếp nhỏ, đầy đủ tiện ích, view hồ Tây (tùy căn), phù hợp lưu trú dài ngày.",Căn hộ studio cao cấp, nằm ở vị trí yên tĩnh, an ninh tốt.
350,88,One-Bedroom Deluxe Lake View,2,8,4500000,4050000,"Phòng ngủ và phòng khách tách biệt, view hồ Tây tuyệt đẹp, nội thất sang trọng.",Căn hộ 1 phòng ngủ, tận hưởng tầm nhìn đẹp và sự riêng tư.
351,88,Two-Bedroom Executive,4,5,6500000,5850000,"2 phòng ngủ riêng, phòng khách/ăn lớn, đầy đủ tiện nghi, hồ bơi chung.",Lý tưởng cho gia đình 4 người, tận hưởng tiện ích căn hộ cao cấp.
352,88,Three-Bedroom Suite,6,3,9000000,8100000,"3 phòng ngủ, không gian rất lớn, tiện nghi 5 sao, view hồ Tây.",Căn hộ lớn nhất, phù hợp cho nhóm bạn hoặc gia đình đông người.
353,89,Standard Double/Twin,2,15,1600000,1440000,"Wifi, TV, phòng tắm đứng, tiện nghi cơ bản 4 sao.",Phòng nghỉ tiêu chuẩn, sạch sẽ, gần Hồ Tây và khu trung tâm.
354,89,Deluxe Room with View,2,10,2200000,1980000,"Phòng rộng hơn Standard, view Hồ Tây hoặc thành phố, tiện nghi nâng cấp.",Phòng thoải mái hơn, đủ tiện nghi cho công tác hoặc du lịch.
355,89,Executive Suite,3,5,3500000,3150000,"Phòng khách nhỏ, giường cỡ King, tiện nghi nâng cấp, dịch vụ phòng 24/7.",Căn suite rộng rãi, lý tưởng cho khách công tác.
356,89,Family Connecting Room,4,3,4500000,4050000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình muốn ở cạnh nhau.
357,90,Standard Double Room,2,18,1000000,900000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản.",Phòng cơ bản, sạch sẽ, giá rẻ, gần khu vực trung tâm.
358,90,Deluxe Twin Room with View,2,12,1400000,1260000,"Phòng rộng rãi hơn, view một phần hồ Tây/thành phố.",Phòng thoải mái, đủ tiện nghi cơ bản.
359,90,Business Room,2,8,1800000,1620000,"Bàn làm việc, yên tĩnh hơn, thích hợp cho khách công tác.",Phòng được tối ưu cho khách cần không gian làm việc.
360,90,Family Quad Room,4,5,2500000,2250000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
361,91,Deluxe Room Lake View,2,12,3800000,3420000,"Thiết kế 5 sao, view hồ Tây và hồ Trúc Bạch, bồn tắm lớn, tiện nghi cao cấp.",Phòng nghỉ sang trọng, tầm nhìn đẹp, nội thất tinh tế.
362,91,Executive Room with Lounge Access,2,8,5500000,4950000,"Quyền lợi Club Lounge (ăn sáng, trà chiều, cocktail tối), check-in/out riêng.",Phòng dành cho khách ưu tiên, tận hưởng dịch vụ độc quyền và cao cấp.
363,91,Premier Suite,3,4,7500000,6750000,"Phòng khách nhỏ tách biệt, giường cỡ King, tiện nghi nâng cấp, dịch vụ phòng 24/7.",Căn suite rộng rãi, lý tưởng cho khách công tác hoặc gia đình nhỏ.
364,91,Pan Pacific Presidential Suite,4,2,15000000,13500000,"2 phòng ngủ, phòng ăn riêng, tầm nhìn toàn cảnh Hồ Tây, tiện nghi xa xỉ.",Căn suite cao cấp nhất với dịch vụ và không gian xa hoa.
365,92,Deluxe Double/Twin,2,15,2500000,2250000,"Thiết kế cổ điển, tiện nghi 5 sao, view thành phố/công viên.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái, nằm gần khu vực ngoại giao.
366,92,Executive Club Room,2,10,4000000,3600000,"Quyền lợi Club Lounge, trà chiều miễn phí, tiện nghi cao cấp.",Phòng dành cho khách ưu tiên, tận hưởng dịch vụ độc quyền.
367,92,Daewoo Suite,3,5,6500000,5850000,"Phòng khách riêng biệt, giường cỡ King, tiện nghi nâng cấp, dịch vụ phòng 24/7.",Căn suite rộng rãi, lý tưởng cho khách công tác dài ngày.
368,92,Presidential Suite,4,2,12000000,10800000,"2 phòng ngủ, phòng ăn riêng, nội thất sang trọng, tầm nhìn toàn cảnh thành phố.",Căn suite cao cấp nhất, phục vụ khách VIP.
369,93,Deluxe King/Twin (City View),2,12,4500000,4050000,"Nằm ở tầng cao, tầm nhìn toàn cảnh thành phố, tiện nghi 5 sao, nội thất hiện đại.",Phòng nghỉ sang trọng, tầm nhìn tuyệt đẹp, nằm trong tòa nhà Lotte Center.
370,93,Club Room,2,8,6000000,5400000,"Quyền lợi Club Lounge, check-in/out riêng, phục vụ cocktail buổi tối.",Phòng dành cho khách ưu tiên, dịch vụ độc quyền ở tầng cao.
371,93,Lotte Suite,3,4,9500000,8550000,"Phòng khách riêng, nội thất cao cấp, khu vực làm việc và ăn uống.",Căn suite rộng rãi, lý tưởng cho khách doanh nhân.
372,93,Royal Suite,4,2,20000000,18000000,"2 phòng ngủ, phòng họp nhỏ, quản gia riêng, tầm nhìn 360 độ thành phố.",Căn suite đẳng cấp nhất, không gian cực kỳ sang trọng.
373,94,Standard Double/Twin,2,20,1000000,900000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần trung tâm.",Phòng cơ bản, sạch sẽ, giá hợp lý, nằm ở vị trí thuận tiện.
374,94,Superior Room,2,15,1400000,1260000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
375,94,Executive Room,2,10,2000000,1800000,"Bàn làm việc, yên tĩnh hơn, thích hợp cho khách công tác.",Phòng được tối ưu cho khách cần không gian làm việc.
376,94,Family Quad Room,4,5,2800000,2520000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
377,95,Deluxe Double Room,2,12,1800000,1620000,"Thiết kế boutique nhỏ, gần Lăng Chủ tịch, dịch vụ thân thiện.",Phòng nghỉ tiêu chuẩn, sạch sẽ, phong cách hiện đại.
378,95,Premium Balcony Room,2,8,2500000,2250000,"Ban công nhỏ hướng phố, thiết kế ấm cúng, tiện nghi nâng cấp.",Phòng có ban công, thích hợp cho khách thích không gian mở.
379,95,La Belle Vie Suite,3,5,3800000,3420000,"Phòng khách nhỏ, nội thất tinh tế, sofa bed, phù hợp gia đình.",Căn suite với không gian sống và nghỉ ngơi tách biệt.
380,95,Connecting Rooms,4,3,4800000,4320000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
381,96,Deluxe Double/Twin,2,15,3000000,2700000,"Thiết kế 5 sao sang trọng, tiện nghi cao cấp, gần các cơ quan chính phủ.",Phòng nghỉ tiêu chuẩn, nội thất tinh tế, dịch vụ chất lượng.
382,96,The Level Room,2,10,4500000,4050000,"Quyền lợi The Level Lounge (ăn sáng, trà chiều, cocktail tối), tiện nghi cao cấp.",Phòng dành cho khách ưu tiên, dịch vụ độc quyền của Melia.
383,96,Executive Suite,3,5,7000000,6300000,"Phòng khách riêng biệt, giường cỡ King, tiện nghi nâng cấp, dịch vụ phòng 24/7.",Căn suite rộng rãi, lý tưởng cho khách công tác.
384,96,Presidential Suite,4,2,18000000,16200000,"2 phòng ngủ, phòng ăn riêng, nội thất sang trọng, tầm nhìn toàn cảnh thành phố.",Căn suite cao cấp nhất, phục vụ khách VIP.
385,97,Deluxe Double/Twin,2,12,1900000,1710000,"Thiết kế hiện đại, tiện nghi 4 sao, gần Hồ Hoàn Kiếm và khu vực trung tâm.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
386,97,Executive Room City View,2,8,2500000,2250000,"Phòng rộng rãi hơn, view thành phố, tiện nghi nâng cấp, có bàn làm việc.",Phòng thoải mái, đủ tiện nghi cho công tác hoặc du lịch.
387,97,Silk Path Suite,3,4,3800000,3420000,"Phòng khách nhỏ, nội thất tinh tế, bồn tắm lớn, dịch vụ phòng 24/7.",Căn suite với không gian sống rộng rãi, thiết kế hiện đại.
388,97,Connecting Rooms,4,3,4800000,4320000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
389,98,Superior Double/Twin,2,15,3200000,2880000,"Dịch vụ Nhật Bản tiêu chuẩn, yên tĩnh, nội thất trang nhã.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
390,98,Executive Room,2,10,4800000,4320000,"Quyền lợi Executive Lounge (ăn sáng, cocktail tối), tiện nghi nâng cấp.",Phòng dành cho khách ưu tiên, dịch vụ độc quyền.
391,98,Nikko Suite,3,5,7500000,6750000,"Phòng khách riêng biệt, giường cỡ King, tiện nghi nâng cấp, dịch vụ phòng 24/7.",Căn suite rộng rãi, lý tưởng cho khách công tác.
392,98,Family Connecting Room,4,3,9000000,8100000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
393,99,Standard Double Room,2,15,1100000,990000,"Thiết kế boutique phong cách Châu Âu, tiện nghi cơ bản, gần chợ Đồng Xuân.",Phòng nghỉ tiêu chuẩn, sạch sẽ, giá cả phải chăng.
394,99,Deluxe Room with Balcony,2,10,1500000,1350000,"Ban công nhỏ hướng phố, thiết kế Châu Âu, tiện nghi nâng cấp nhẹ.",Phòng có ban công, thích hợp cho khách thích không gian mở.
395,99,Church Legend Suite,3,5,2500000,2250000,"Phòng khách nhỏ, nội thất tinh tế, phù hợp gia đình.",Căn suite với không gian sống và nghỉ ngơi tách biệt.
396,99,Connecting Rooms,4,3,3200000,2880000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
397,100,Standard Double Room,2,18,800000,720000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản.",Phòng cơ bản, sạch sẽ, giá rẻ, gần khu vực trung tâm thương mại.
398,100,Superior Twin Room,2,12,1100000,990000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
399,100,Business Room,2,8,1500000,1350000,"Bàn làm việc, yên tĩnh hơn, thích hợp cho khách công tác.",Phòng được tối ưu cho khách cần không gian làm việc.
400,100,Family Quad Room,4,5,2000000,1800000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
401,101,Standard Double Room,2,18,900000,810000,"Wifi miễn phí, TV, điều hòa, phòng tắm nhỏ, cơ bản.",Phòng cơ bản, sạch sẽ, giá rẻ, gần khu vực hồ và các bệnh viện lớn.
402,101,Superior Twin Room,2,12,1200000,1080000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
403,101,Business Room with Desk,2,8,1500000,1350000,"Bàn làm việc, yên tĩnh hơn, thích hợp cho khách công tác.",Phòng được tối ưu cho khách cần không gian làm việc.
404,101,Family Quad Room,4,5,2200000,1980000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
405,102,Deluxe Double/Twin,2,15,2800000,2520000,"Thiết kế 4 sao, tiện nghi cao cấp, gần khu vực kinh doanh.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái, có quyền lợi sử dụng casino (tùy gói).
406,102,Executive Club Room,2,10,4000000,3600000,"Quyền lợi Club Lounge, trà chiều miễn phí, tiện nghi cao cấp.",Phòng dành cho khách ưu tiên, tận hưởng dịch vụ độc quyền.
407,102,Fortuna Suite,3,5,6500000,5850000,"Phòng khách riêng biệt, giường cỡ King, tiện nghi nâng cấp.",Căn suite rộng rãi, lý tưởng cho khách công tác dài ngày.
408,102,Family Connecting Room,4,3,8000000,7200000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình muốn ở cạnh nhau.
409,103,Premium Deluxe Room,2,10,2000000,1800000,"Thiết kế boutique sang trọng, nằm trong khu phố yên tĩnh, bồn tắm lớn.",Phòng nghỉ 4 sao chất lượng cao, mang lại sự riêng tư.
410,103,Posh Executive Suite,2,8,3500000,3150000,"Phòng khách nhỏ, giường cỡ King, tiện nghi nâng cấp, dịch vụ phòng 24/7.",Căn suite rộng rãi, lý tưởng cho khách muốn không gian yên tĩnh và sang trọng.
411,103,Honeymoon Suite,2,4,4800000,4320000,"Phòng lãng mạn, bồn tắm sục (Jacuzzi), trang trí hoa tươi.",Căn suite đặc biệt dành cho các cặp đôi.
412,103,Connecting Room,4,3,5500000,4950000,"2 phòng Premium thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
413,104,Standard Double/Twin,2,15,1100000,990000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần ga Hà Nội.",Phòng cơ bản, sạch sẽ, giá hợp lý, thuận tiện di chuyển.
414,104,Superior Room,2,10,1500000,1350000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
415,104,Business Room,2,8,2000000,1800000,"Bàn làm việc, yên tĩnh hơn, thích hợp cho khách công tác.",Phòng được tối ưu cho khách cần không gian làm việc.
416,104,Family Quad Room,4,5,2800000,2520000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
417,105,Standard Double Room,2,12,700000,630000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần Văn Miếu.",Phòng cơ bản, sạch sẽ, giá rẻ, phù hợp cho khách du lịch văn hóa.
418,105,Superior Twin Room,2,8,1000000,900000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
419,105,Triple Room,3,5,1300000,1170000,"3 người, tiện nghi cơ bản, tiết kiệm chi phí.",Phòng ba người, đơn giản và hiệu quả.
420,105,Family Quad Room,4,3,1800000,1620000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
421,106,Deluxe Double/Twin,2,15,4000000,3600000,"Thiết kế 5 sao hiện đại, tiện nghi cao cấp, view thành phố.",Phòng nghỉ sang trọng, nằm trong khu vực kinh doanh mới.
422,106,Club Room,2,10,6000000,5400000,"Quyền lợi Club Lounge, trà chiều miễn phí, tiện nghi cao cấp.",Phòng dành cho khách ưu tiên, tận hưởng dịch vụ độc quyền.
423,106,Crowne Plaza Suite,4,5,9500000,8550000,"Phòng khách riêng biệt, giường cỡ King, tiện nghi nâng cấp, dịch vụ quản gia.",Căn suite rộng rãi, lý tưởng cho khách công tác dài ngày.
424,106,Presidential Suite,4,2,20000000,18000000,"2 phòng ngủ, phòng ăn, bếp nhỏ, quản gia 24/7, tầm nhìn toàn cảnh thành phố.",Trải nghiệm nghỉ dưỡng xa xỉ.
425,107,Standard King/Twin,2,12,1800000,1620000,"Thiết kế 4 sao, nằm trong tổ hợp thương mại, gần khu văn phòng.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
426,107,Deluxe Room,2,8,2500000,2250000,"Phòng rộng rãi hơn, tiện nghi nâng cấp, có bàn làm việc.",Phòng thoải mái, đủ tiện nghi cho công tác.
427,107,Executive Suite,3,4,4000000,3600000,"Phòng khách nhỏ, nội thất hiện đại, phù hợp gia đình.",Căn suite với không gian sống và nghỉ ngơi tách biệt.
428,107,Connecting Rooms,4,3,5200000,4680000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
429,108,Standard Double Room,2,15,1000000,900000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần các trường đại học.",Phòng cơ bản, sạch sẽ, giá rẻ, gần khu vực Cầu Giấy.
430,108,Superior Twin Room,2,10,1300000,1170000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
431,108,Business Room with Desk,2,8,1600000,1440000,"Bàn làm việc, yên tĩnh hơn, thích hợp cho khách công tác.",Phòng được tối ưu cho khách cần không gian làm việc.
432,108,Family Quad Room,4,5,2400000,2160000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
433,109,Deluxe King/Twin,2,15,3500000,3150000,"Thiết kế 5 sao lộng lẫy, tiện nghi cao cấp, nằm trong tổ hợp thương mại.",Phòng nghỉ sang trọng, nội thất tinh tế, dịch vụ chất lượng.
434,109,Executive Room with Lounge Access,2,10,5000000,4500000,"Quyền lợi Executive Lounge, trà chiều miễn phí, tiện nghi cao cấp.",Phòng dành cho khách ưu tiên, tận hưởng dịch vụ độc quyền.
435,109,Grand Plaza Suite,4,5,8500000,7650000,"Phòng khách riêng biệt, giường cỡ King, tiện nghi nâng cấp, dịch vụ phòng 24/7.",Căn suite rộng rãi, lý tưởng cho khách công tác.
436,109,Royal Suite,4,2,18000000,16200000,"2 phòng ngủ, phòng ăn riêng, nội thất sang trọng, tầm nhìn toàn cảnh thành phố.",Căn suite cao cấp nhất, phục vụ khách VIP.
437,110,Deluxe Double/Twin,2,10,1500000,1350000,"Thiết kế boutique hiện đại, yên tĩnh, tiện nghi 4 sao.",Phòng nghỉ tiêu chuẩn, sạch sẽ, phong cách hiện đại.
438,110,Paragon Executive Room,2,8,2200000,1980000,"Phòng rộng hơn Standard, tiện nghi nâng cấp, có bàn làm việc.",Phòng thoải mái, đủ tiện nghi cho công tác.
439,110,Boutique Suite,3,5,3500000,3150000,"Phòng khách nhỏ, nội thất tinh tế, phù hợp gia đình.",Căn suite với không gian sống và nghỉ ngơi tách biệt.
440,110,Family Connecting Room,4,3,4500000,4050000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
441,111,Studio Apartment,2,10,2500000,2250000,"Bếp nhỏ, đầy đủ tiện ích, an ninh 24/7, sử dụng hồ bơi chung.",Căn hộ studio cao cấp, phù hợp cho cặp đôi hoặc khách công tác dài ngày tại khu vực yên tĩnh.
442,111,One-Bedroom Villa,2,8,4000000,3600000,"Villa riêng, phòng ngủ và phòng khách tách biệt, bếp đầy đủ dụng cụ, view xanh.",Căn biệt thự 1 phòng ngủ, mang lại sự riêng tư và tiện nghi gia đình.
443,111,Two-Bedroom Executive Villa,4,5,6500000,5850000,"2 phòng ngủ riêng, phòng khách/ăn lớn, có vườn/ban công lớn.",Lý tưởng cho gia đình 4 người, tận hưởng tiện ích khu đô thị cao cấp.
444,111,Harmony Garden Home (3-BR),6,3,9000000,8100000,"Biệt thự 3 phòng ngủ, không gian rất lớn, tiện nghi 5 sao, gần trung tâm thương mại.",Biệt thự lớn nhất, phù hợp cho nhóm bạn hoặc gia đình đông người.
445,112,Standard Double/Twin,2,15,800000,720000,"Wifi miễn phí, TV, điều hòa, phòng tắm nhỏ, cơ bản.",Phòng cơ bản, sạch sẽ, giá rẻ, gần trung tâm thương mại Aeon Mall.
446,112,Deluxe Room,2,10,1200000,1080000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
447,112,Business Room with Desk,2,8,1500000,1350000,"Bàn làm việc, yên tĩnh hơn, thích hợp cho khách công tác.",Phòng được tối ưu cho khách cần không gian làm việc.
448,112,Family Quad Room,4,5,2200000,1980000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
449,113,Standard Double Room,2,18,600000,540000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản.",Phòng cơ bản, sạch sẽ, giá rẻ, gần khu vực cầu Chương Dương.
450,113,Twin Room with Window,2,12,800000,720000,"Phòng có cửa sổ, 2 giường đơn, sạch sẽ.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
451,113,Triple Room,3,8,1100000,990000,"3 người, tiện nghi cơ bản, giải pháp kinh tế cho nhóm 3.",Phòng ba người, đơn giản và hiệu quả.
452,113,Family Quad Room,4,5,1500000,1350000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
453,114,Double Room Riverside View,2,8,900000,810000,"View sông, không gian thoáng đãng, thiết kế đơn giản, yên tĩnh.",Phòng homestay nhỏ gọn, gần gũi thiên nhiên.
454,114,Twin Room (Garden Access),2,6,1200000,1080000,"Lối đi ra khu vườn chung, không gian xanh mát, sạch sẽ.",Phòng tiêu chuẩn, thích hợp để thư giãn.
455,114,Family Loft Room,4,4,2000000,1800000,"Gác lửng, không gian ấm cúng cho gia đình, tiện nghi cơ bản.",Phòng gia đình với thiết kế độc đáo, thoải mái.
456,114,Riverside Villa (Shared),6,2,3000000,2700000,"Villa lớn, 3 phòng ngủ (chung), sử dụng chung khu vực sinh hoạt, bếp.",Phù hợp cho nhóm bạn hoặc gia đình lớn muốn không gian chung.
457,115,Standard Double Room,2,15,700000,630000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản.",Phòng cơ bản, sạch sẽ, giá rẻ, phù hợp khách công tác tại khu vực phía Đông.
